id,university_id,club_category,name,topic,description,introduce,image_url,location
1,1,PERFORMANCE,CHIC(시크),댄스,가야대학교 간호학과 대표 댄스동아리 CHIC(시크)는 ,"가야대학교 간호학과 대표 댄스동아리 CHIC(시크)는 세련되고 멋진 동아리라는 의미로 2008년에 창단되었다 학교의 각종 행사에 참여하고 있는 동아리이며,",https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
2,1,SOCIAL_SERVICE,사계절주,봉사,2012년 가야대학교 간호학과 학생 200명을 중심으로,"2012년 가야대학교 간호학과 학생 200명을 중심으로 창단된 학과 동아리로, 2014년 총동아리로 승격된 이후 현재는 간호학과, 사회복지학과, 방사선학과, 물리치료학과,",https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
3,1,SOCIAL_SERVICE,뉴하트 동아리,봉사,2014년 10월에 창단한 뉴하트 동아리는 김해지역과 ,"2014년 10월에 창단한 뉴하트 동아리는 김해지역과 교내 재학생 대상으로 핵심기본간호술(기본인명구조술 및 제세동기 사용)역량강화와 취업활성화,",https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
4,2,PERFORMANCE,CAM,공연,공연 활동 동아리,CAM은(는) 공연 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
5,2,RELIGION,CCC,공연,공연 활동 동아리,CCC은(는) 공연 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
6,2,RELIGION,UBF,공연,공연 활동 동아리,UBF은(는) 공연 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
7,2,RELIGION,가톨릭공동체,종교,종교 활동 동아리,가톨릭공동체은(는) 종교 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
8,2,SOCIAL_SERVICE,간호대학,봉사,"가생 : 간호학과의 과동아리로, 봉사활동을 한다","가생 : 간호학과의 과동아리로, 봉사활동을 한다",https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
9,2,PERFORMANCE,고운소리,공연,공연 활동 동아리,고운소리은(는) 공연 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
10,2,PERFORMANCE,김장훈,이 과거 천하대장군 소속이었다,이 과거 천하대장군 소속이었다,이 과거 천하대장군 소속이었다,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
11,2,PERFORMANCE,누구나 가능하다,미확인,미확인 활동 동아리,누구나 가능하다은(는) 미확인 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
12,2,PERFORMANCE,다섯손가락,공연,공연 활동 동아리,다섯손가락은(는) 공연 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
13,2,PERFORMANCE,미디,공연/음악/예술 활동,"· 작곡 동아리로, 음악과 관련된 모든 창작활동이라면 ","· 작곡 동아리로, 음악과 관련된 모든 창작활동이라면 모두 환영하는 동아리이다. 랩, 작사, 멜로디, 미디, 믹싱 등에 대한 클래스를 직접 진행하고 있다",https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
14,2,PERFORMANCE,소리상자,공연,공연 활동 동아리,소리상자은(는) 공연 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
15,2,RELIGION,소속 선교회다,CAM,CAM 활동 동아리,소속 선교회다은(는) CAM 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
16,2,PERFORMANCE,아름,공연,공연 활동 동아리,아름은(는) 공연 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
17,2,RELIGION,여의도순복음교회,소속 선교회다,소속 선교회다,소속 선교회다,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
18,2,SPORTS,운동·레저,농구,잉글레이션 : 영어 공부 및 레저스포츠를 즐기는 동아리,"잉글레이션 : 영어 공부 및 레저스포츠를 즐기는 동아리로 공부와 친목을 한번에 잡을 수 있는 동아리이다 스트로크 : 배드민턴 동아리로,",https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
19,2,PERFORMANCE,음초롱,공연,공연 활동 동아리,음초롱은(는) 공연 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
20,2,PERFORMANCE,천하대장군,공연,공연 활동 동아리,천하대장군은(는) 공연 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
21,2,PERFORMANCE,파랑새,공연,공연 활동 동아리,파랑새은(는) 공연 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
22,2,PERFORMANCE,하늬바람,공연,공연 활동 동아리,하늬바람은(는) 공연 활동을 하는 동아리입니다.,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
23,2,RELIGION,한국대학생선교회,소속 선교회다,소속 선교회다,소속 선교회다,https://stage-static.koreatech.in/konect/university/university_logo_sample.webp,미확인
